10500,chrome.exe,20220801175204.919167+540
10520,RAVCpl64.exe,20220801175205.039021+540
10528,chrome.exe,20220801175205.072418+540
10720,chrome.exe,20220801175205.720734+540
10728,chrome.exe,20220801175205.724867+540
10752,chrome.exe,20220801175205.753541+540
10920,chrome.exe,20220801175206.254453+540
11372,chrome.exe,20220801175211.694113+540
12004,svchost.exe,20220801175223.247989+540
12108,svchost.exe,20220801175223.401354+540
3928,SystemSettings.exe,20220801175324.445222+540
4016,ApplicationFrameHost.exe,20220801175324.446230+540
11468,UserOOBEBroker.exe,20220801175324.873055+540
6708,svchost.exe,20220801175330.600766+540
11076,svchost.exe,20220801175331.632173+540
3228,DolbyDAX2API.exe,20220801175332.864006+540
2196,SgrmBroker.exe,20220801175333.846035+540
9552,svchost.exe,20220801175334.161411+540
5972,Code.exe,20220801175649.265203+540
11532,Code.exe,20220801175650.088876+540
10648,Code.exe,20220801175650.272180+540
8308,Code.exe,20220801175650.582075+540
4064,Code.exe,20220801175650.777565+540
10032,Code.exe,20220801175653.206054+540
4576,Code.exe,20220801175653.972299+540
9828,svchost.exe,20220801175821.777049+540
10000,chrome.exe,20220801175934.341134+540
11572,chrome.exe,20220801175935.591101+540
11096,SearchApp.exe,20220801180138.366871+540
9520,dllhost.exe,20220801180138.948346+540
2376,chrome.exe,20220801180658.521981+540
4752,chrome.exe,20220801180715.370101+540
11084,svchost.exe,20220801181123.822185+540
12216,ShellExperienceHost.exe,20220801185439.635199+540
7196,RuntimeBroker.exe,20220801185439.857775+540
4708,Code.exe,20220801185930.001702+540
1564,Code.exe,20220801185930.816480+540
5992,conhost.exe,20220801185932.644954+540
2352,powershell.exe,20220801185932.738357+540
4196,Code.exe,20220801185935.223263+540
1152,conhost.exe,20220801185939.040577+540
12064,powershell.exe,20220801185939.245466+540
10424,Code.exe,20220801185950.935227+540
12092,chrome.exe,20220801210155.021553+540
3052,audiodg.exe,20220801233331.228639+540
3336,svchost.exe,20220801233331.450412+540
11652,FMAPP.exe,20220802014131.508769+540
12276,chrome.exe,20220802015725.439466+540
11580,chrome.exe,20220802022409.353539+540
11536,chrome.exe,20220802023653.200540+540
1296,chrome.exe,20220802023717.248225+540
9840,chrome.exe,20220802025514.859678+540
8648,WmiPrvSE.exe,20220802025626.681046+540
9588,SearchProtocolHost.exe,20220802025821.418873+540
4528,SearchFilterHost.exe,20220802025821.504696+540
7972,python.exe,20220802025910.179401+540
7516,conhost.exe,20220802025910.188226+540
8432,python.exe,20220802025910.800285+540
11520,python.exe,20220802025911.282861+540
